x,y,pmi,count
rugby,caius,2.5333770122891646,12
ho,heigh,2.5301437999869436,7
heigh,ho,2.5301437999869436,7
portia,belmont,2.5282111716484255,9
belmont,portia,2.5282111716484255,9
tom,edg,2.5267464333901515,9
edg,tom,2.5267464333901515,9
encount,red,2.524035090591337,15
red,encount,2.524035090591337,15
shut,doors,2.5234093572858662,11
doors,shut,2.5234093572858662,11
palace,alexandria,2.5223816279877016,12
alexandria,palace,2.5223816279877016,12
leek,eat,2.522034331302338,5
eat,leek,2.522034331302338,5
top,mountain,2.521142555872153,7
mountain,top,2.521142555872153,7
bright,shines,2.5097552770336513,6
shines,bright,2.5097552770336513,6
gower,fluellen,2.507150877326771,13
fluellen,gower,2.507150877326771,13
arrest,treason,2.504752139683984,7
treason,arrest,2.504752139683984,7
sing,willow,2.5011923289177633,6
willow,sing,2.5011923289177633,6
de,alice,2.5011923289177633,9
alice,de,2.5011923289177633,9
red,minist,2.4992115068663048,5
minist,red,2.4992115068663048,5
west,north,2.4987177097899083,6
north,west,2.4987177097899083,6
rivers,dorset,2.4969938280972936,5
dorset,rivers,2.4969938280972936,5
reverend,fathers,2.4967832100127083,7
fathers,reverend,2.4967832100127083,7
red,ent,2.4929625575893035,23
ent,red,2.4929625575893035,23
snout,bottom,2.492592157155846,5
bottom,snout,2.492592157155846,5
gar,jack,2.488441162764721,7
jack,gar,2.488441162764721,7
ling,ring,2.4883551042125913,12
ring,ling,2.4883551042125913,12
count,orsino,2.4857527326255404,6
orsino,count,2.4857527326255404,6
grecian,camp,2.4853537482319266,7
camp,grecian,2.4853537482319266,7
don,pedro,2.4838608128260113,20
pedro,don,2.4838608128260113,20
cave,belarius,2.483629038995685,9
belarius,cave,2.483629038995685,9
nym,humours,2.482016672127641,5
humours,nym,2.482016672127641,5
trinculo,stephano,2.4817792878736284,14
stephano,trinculo,2.4817792878736284,14
costard,jaquenetta,2.4804628440590193,9
jaquenetta,costard,2.4804628440590193,9
de,dat,2.4800030298478255,6
dat,de,2.4800030298478255,6
overdone,mrs,2.4779986809141645,15
mrs,overdone,2.4779986809141645,15
humour,nym,2.4760537251539643,14
nym,humour,2.4760537251539643,14
nathaniel,holofernes,2.4747174333861417,6
holofernes,nathaniel,2.4747174333861417,6
rope,ephesus,2.4740508262224132,7
ephesus,rope,2.4740508262224132,7
chief,justice,2.4732776682155895,68
justice,chief,2.4732776682155895,68
de,et,2.47316360531752,9
et,de,2.47316360531752,9
le,monsieur,2.4702650774377033,6
monsieur,le,2.4702650774377033,6
act,sc,2.4689190230622464,32
sc,act,2.4689190230622464,32
grumio,curtis,2.465476776651229,7
curtis,grumio,2.465476776651229,7
demetrius,chiron,2.465269029944611,22
chiron,demetrius,2.465269029944611,22
gar,de,2.4647630632910884,8
de,gar,2.4647630632910884,8
earl,cambridge,2.4626289337784026,8
cambridge,earl,2.4626289337784026,8
n,heav,2.4585123675835705,7
heav,n,2.4585123675835705,7
land,salique,2.4575494082491276,5
salique,land,2.4575494082491276,5
clown,madonna,2.4554348383570885,9
madonna,clown,2.4554348383570885,9
draw,curtain,2.455186740959937,9
curtain,draw,2.455186740959937,9
lion,moonshine,2.45419576624154,6
moonshine,lion,2.45419576624154,6
plain,dealing,2.4493234669988655,5
dealing,plain,2.4493234669988655,5
hundred,fifty,2.449029925600801,9
fifty,hundred,2.449029925600801,9
green,bushy,2.448113885434344,8
bushy,green,2.448113885434344,8
hermia,lysander,2.447312175694297,26
lysander,hermia,2.447312175694297,26
andrew,toby,2.44719977336901,15
toby,andrew,2.44719977336901,15
drum,colours,2.4469849675075217,17
colours,drum,2.4469849675075217,17
rememb,red,2.444853844543712,25
red,rememb,2.444853844543712,25
guiderius,arviragus,2.444287477581291,12
arviragus,guiderius,2.444287477581291,12
katherine,alice,2.441034320183569,5
alice,katherine,2.441034320183569,5
paris,antenor,2.4378053500533707,5
antenor,paris,2.4378053500533707,5
goths,warlike,2.436734339690845,5
warlike,goths,2.436734339690845,5
green,bagot,2.4358794290173322,5
bagot,green,2.4358794290173322,5
alencon,reignier,2.4342455392871503,6
reignier,alencon,2.4342455392871503,6
bought,sold,2.423876344786386,5
sold,bought,2.423876344786386,5
paris,county,2.4235649109387603,10
county,paris,2.4235649109387603,10
slaught,red,2.4234907929281864,7
red,slaught,2.4234907929281864,7
syracuse,dromio,2.422113643853471,121
dromio,syracuse,2.422113643853471,121
speed,item,2.4220110828701387,17
nails,de,2.4220110828701387,7
pole,de,2.4220110828701387,5
item,speed,2.4220110828701387,17
est,de,2.4220110828701387,5
de,est,2.4220110828701387,5
de,nails,2.4220110828701387,7
de,pole,2.4220110828701387,5
sell,buy,2.42166654141462,9
buy,sell,2.42166654141462,9
fran,anon,2.420291102475865,6
anon,fran,2.420291102475865,6
black,coal,2.419433659982328,6
coal,black,2.419433659982328,6
ephesus,antipholus,2.4188955613213583,84
antipholus,ephesus,2.4188955613213583,84
posthumus,leonatus,2.4151716583398333,6
leonatus,posthumus,2.4151716583398333,6
afar,drum,2.413816604254867,5
drum,afar,2.413816604254867,5
belarius,arviragus,2.4112872174783657,12
arviragus,belarius,2.4112872174783657,12
syracuse,antipholus,2.4095017565186962,117
antipholus,syracuse,2.4095017565186962,117
officers,sheriff,2.4067711163134016,5
sheriff,officers,2.4067711163134016,5
griffith,katharine,2.405773883999453,6
katharine,griffith,2.405773883999453,6
sound,trumpets,2.403597439073181,42
trumpets,sound,2.403597439073181,42
bishop,winchester,2.4029372019228217,7
winchester,bishop,2.4029372019228217,7
utt,red,2.4023014938582485,6
red,utt,2.4023014938582485,6
katherine,de,2.4021162541531993,16
de,katherine,2.4021162541531993,16
knave,arrant,2.399183552955703,6
arrant,knave,2.399183552955703,6
eight,nine,2.3978774031534194,5
nine,eight,2.3978774031534194,5
hundred,knights,2.3978774031534194,8
knights,hundred,2.3978774031534194,8
gates,ope,2.3964126648951454,6
ope,gates,2.3964126648951454,6
years,sixteen,2.395536187338517,5
sixteen,years,2.395536187338517,5
hume,duchess,2.395438910043474,6
duchess,hume,2.395438910043474,6
saint,george,2.385154151544795,20
george,saint,2.385154151544795,20
cry,troyans,2.3847743574830713,5
troyans,cry,2.3847743574830713,5
glass,looking,2.384552964231121,6
looking,glass,2.384552964231121,6
quince,pyramus,2.379143712145908,7
pyramus,quince,2.379143712145908,7
benedick,signior,2.377365240314192,19
signior,benedick,2.377365240314192,19
lorenzo,jessica,2.3767812703354534,10
